pilot_id,evidence_id,evidence_type,required_for,description,source_or_supplier,reference_or_quote_number,evidence_date,effective_until,location,unit_or_scope_basis,received_by,qs_review_status,authority_classification,notes
PILOT-DCK-001,EVD-DCK-001-DWG,drawing,scope_measurement,Deck plan sections and support detail,,,,,,m2 deck and structural interfaces,,pending,project_controlling,No calculation may proceed without dimensions and bearing detail.
PILOT-DCK-001,EVD-DCK-001-PHOTOS,drawing,scope_measurement,Four engineering-drawing photos showing 84m2 deck layout joists deck finish and substructure,Beautiful Buildings / attached Photos 1-4,,2009-07-01,,84m2 deck and interfaces,,reviewed,project_controlling,84m2 deck area and post-bearer arrangement are captured; use original engineer drawings for exact connection and member take-off.
PILOT-DCK-001,EVD-DCK-001-SITE,site_observation,site_conditions,Height slope access handling constraints and existing-condition photos,,,,,,site observation,,pending,project_controlling,Record carry distance cutting constraints and demolition or make-good.
PILOT-DCK-001,EVD-DCK-001-MATQ,supplier_quote,current_material_rate,Current deck board substructure fastener and delivery quotation,,,,,,quoted units and VAT basis,,pending,project_controlling,Must identify supplier location quote validity and delivery basis.
PILOT-DCK-001,EVD-DCK-001-MATLIST,internal_procurement_list,rate_research,Main material list rate candidates for boards and substructure,Saplings/Plett Timbers,,2026-03-04,,source list,ea and named product dimensions,,reviewed,reference_pending_supplier_quote,Relevant candidates are staged in pilot-rate-candidates.csv; this is not a project quotation.
PILOT-DCK-001,EVD-DCK-001-FASTENERS,inventory_sheet,rate_research,Fastener Box provides deck screw nut washer and raw threaded-bar rates,Fowkes,,2024-12-03,,Fastener Box sheet,ea and raw bar length,,reviewed,reference_pending_supplier_quote,Exact matches found for DCK-S02 DCK-B04 and DCK-B05; raw bar rate requires a cutting-yield calculation for DCK-B03.
PILOT-DCK-001,EVD-DCK-001-LABQ,contractor_quote,productivity_and_labour,Deck crew composition duration day rate and inclusions,,,,,,m2 and crew-day basis,,pending,project_controlling,Do not substitute academic or historical productivity for this evidence.
PILOT-DCK-001,EVD-DCK-001-LABREF,research_reference,productivity_research,Generic labour-output reference contains wooden-floor and formwork benchmarks but no comparable deck method,Labour Output-2_260614_201923.pdf,,,,,generic output units,,reviewed,reference_only,Excluded from calculation because geography crew composition method and deck conditions are not comparable.
PILOT-DCK-001,EVD-DCK-001-ENG,engineer_detail,compliance_and_support,Engineer confirmation or construction detail for supports attachments and inspections,,,,,,support method,,pending,project_controlling,Required when the design depends on structural support or foundations.
PILOT-PLB-KIT-001,EVD-PLB-001-SCH,fixture_schedule,scope_measurement,Fixture schedule and plumbing layout showing each included connection,,,,,,fixture count and connection scope,,pending,project_controlling,Confirm WC basin shower and shower-door inclusions separately.
PILOT-PLB-KIT-001,EVD-PLB-001-MATQ,supplier_quote,current_material_rate,Current fixture and accessory quotation including availability lead time VAT and delivery,,,,,,ea and delivery basis,,pending,project_controlling,Checks continued suitability of locked source records for the project specification.
PILOT-PLB-KIT-001,EVD-PLB-001-MATLIST,internal_procurement_list,rate_research,Main material list confirms three seeded fixture prices,CTM and PlumbItOnline,,2026-02-16,,source list,ea and named product code,,reviewed,reference_pending_supplier_quote,BE1WH9102 BE1WH813 and CT8006 match the current seed rates; not a project quotation.
PILOT-PLB-KIT-001,EVD-PLB-001-CONSUMABLES,internal_procurement_list,rate_research,Consumable list candidates for toilet basin and shower-door installation,DIY Shop and Fowkes,,2026-03-06,,source list,tube and ea,,reviewed,reference_pending_supplier_quote,RCM-WC-001 RCM-BSN-001 and RCM-SHWD-PRATLEY are staged in pilot-rate-candidates.csv; product equivalence still needs confirmation.
PILOT-PLB-KIT-001,EVD-PLB-001-INST,contractor_quote,productivity_and_labour,Registered installer quote showing roles hours testing and certification,,,,,,fixture kit and labour basis,,pending,project_controlling,Distinguish fixture installation from pipe reticulation builder work and electrical scope.
PILOT-PLB-KIT-001,EVD-PLB-001-SITE,site_observation,site_conditions,Access wall closure working space and existing-service conditions,,,,,,site observation,,pending,project_controlling,Required to identify scope exceptions before client output.
