pilot_id,material_code,source_description,source_unit,source_rate_zar,supplier,source_product_code,observed_date,evidence_classification,comparison_to_seed,required_action
PILOT-DCK-001,DCK-S01,SA Pine external decking CCA H3 treated 21x108x4800,ea,145.20,Saplings/Plett Timbers,,2026-03-04,reference_pending_supplier_quote,Seed rate R169.50 is higher by R24.30 per board,Confirm supplier location delivery VAT and whether this is the identical grade and treatment before staging a correction.
PILOT-DCK-001,DCK-B01,Treated pine 38x114x4800,ea,127.30,Saplings/Plett Timbers,,2026-03-04,reference_pending_supplier_quote,Seed rate R127.00 is broadly aligned,Confirm required member length and supplier quote terms before treating as current project evidence.
PILOT-DCK-001,DCK-B02,Treated pine 50x152x3000,ea,193.04,Saplings/Plett Timbers,,2026-03-04,reference_pending_supplier_quote,Seed material has no length but is priced at R291.00,Match the engineering detail to the required length; do not compare or replace rates until length is resolved.
PILOT-DCK-001,DCK-B02,Treated pine 50x152x5400,ea,325.02,Saplings/Plett Timbers,,2026-03-04,reference_pending_supplier_quote,Seed material has no length but is priced at R291.00,Match the engineering detail to the required length; do not compare or replace rates until length is resolved.
PILOT-DCK-001,DCK-S02,Passivated chipboard screw 5x60 star head,ea,0.35,Fowkes,CBS560N,2024-12-03,reference_pending_supplier_quote,Exact match to current seed rate,Confirm coating and pack-to-each conversion against the deck fastener specification.
PILOT-DCK-001,DCK-B03,M12 galvanised threaded bar 3m raw length,ea,99.85,Fowkes,TMSG123,2023-11-10,reference_pending_supplier_quote,Not directly comparable to seed cut-length rate R2.95,Document cut lengths yield offcuts and cutting cost before deriving a cut-length rate.
PILOT-DCK-001,DCK-B04,M12 galvanised washer 24mm x 2.5mm,ea,0.35,Fowkes,WBG12,2024-11-03,reference_pending_supplier_quote,Exact match to current seed rate,Confirm galvanising specification and pack-to-each conversion.
PILOT-DCK-001,DCK-B05,M12 galvanised nut,ea,1.07,Fowkes,HTNG12,2024-11-03,reference_pending_supplier_quote,Exact match to current seed rate,Confirm galvanising specification and pack-to-each conversion.
PILOT-PLB-KIT-001,BE1WH9102,Bathroom basin Starna white F/S without tap hole,ea,649.90,PlumbItOnline,BE1WH9102,2026-02-16,reference_pending_supplier_quote,Exact match to current seed rate,Obtain project quotation and confirm fixture specification availability and delivery.
PILOT-PLB-KIT-001,BE1WH813,Coral White top flush toilet suite including seat,ea,929.90,CTM,BE1WH813,2026-02-16,reference_pending_supplier_quote,Exact match to current seed rate,Obtain project quotation and confirm fixture specification availability and delivery.
PILOT-PLB-KIT-001,CT8006,Glass shower doors chrome,ea,3559.00,CTM,CT8006,2026-02-16,reference_pending_supplier_quote,Exact match to current seed rate,Obtain project quotation and confirm opening size glass specification and delivery.
PILOT-PLB-KIT-001,RCM-WC-001,Sikaflex White toilet 310ml,tube,225.22,DIY Shop,997,2026-03-06,reference_pending_supplier_quote,Source rate is higher than seed R129.90 and product equivalence needs confirmation,Confirm exact product formulation volume and supplier quote before staging any correction.
PILOT-PLB-KIT-001,RCM-BSN-001,White mould-resistant silicone,tube,78.17,DIY Shop,ASS300WH,2026-03-06,reference_pending_supplier_quote,Source rate is lower than seed R89.90 and brand equivalence needs confirmation,Confirm exact product formulation volume and supplier quote before staging any correction.
PILOT-PLB-KIT-001,RCM-SHWD-PRATLEY,Pratley Steel Quick Set,ea,54.39,Fowkes,,2026-03-06,reference_pending_supplier_quote,Source rate is lower than seed R74.90 and pack size needs confirmation,Confirm pack size and supplier quote before staging any correction.
